lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
ablaktować,,ablaktuję,,ablaktujesz,,ablaktuje,,ablaktujemy,,ablaktujecie,,ablaktują,,ablaktowała,,ablaktował,,ablaktowały,
ablegrować,,ablegruję,,ablegrujesz,,ablegruje,,ablegrujemy,,ablegrujecie,,ablegrują,,ablegrowała,,ablegrował,,ablegrowały,
abonować,,abonuję,,abonujesz,,abonuje,,abonujemy,,abonujecie,,abonują,,abonowała,,abonował,,abonowały,
abradować,,abraduję,,abradujesz,,abraduje,,abradujemy,,abradujecie,,abradują,,abradowała,,abradował,,abradowały,
abrysować,abrysuję,,abrysujesz,,abrysuje,,abrysujemy,,abrysujecie,,abrysują,,abrysowała,,abrysował,,abrysowały,,
absentować,,absentuję,,absentujesz,,absentuje,,absentujemy,,absentujecie,,absentują,,absentowała,,absentował,,absentowały,
absolutyzować,,absolutyzuję,,absolutyzujesz,,absolutyzuje,,absolutyzujemy,,absolutyzujecie,,absolutyzują,,absolutyzowała,,absolutyzował,,absolutyzowały,
absolwować,,absolwuję,,absolwujesz,,absolwuje,,absolwujemy,,absolwujecie,,absolwują,,absolwowała,,absolwował,,absolwowały,
absorbować,,absorbuję,,absorbujesz,,absorbuje,,absorbujemy,,absorbujecie,,absorbują,,absorbowała,,absorbował,,absorbowały,
abstrahować,,abstrahuję,,abstrahujesz,,abstrahuje,,abstrahujemy,,abstrahujecie,,abstrahują,,abstrahowała,,abstrahował,,abstrahowały,
absurdalizować,,absurdalizuję,,absurdalizujesz,,absurdalizuje,,absurdalizujemy,,absurdalizujecie,,absurdalizują,,absurdalizowała,,absurdalizował,,absurdalizowały,
absztyfikować,,absztyfikuję,,absztyfikujesz,,absztyfikuje,,absztyfikujemy,,absztyfikujecie,,absztyfikują,,absztyfikowała,,absztyfikował,,absztyfikowały,
abszytować,,abszytuję,,abszytujesz,,abszytuje,,abszytujemy,,abszytujecie,,abszytują,,abszytowała,,abszytował,,abszytowały,
acetylować,,acetyluję,,acetylujesz,,acetyluje,,acetylujemy,,acetylujecie,,acetylują,,acetylowała,,acetylował,,acetylowały,
achać,,acham,,achasz,,acha,,achamy,,achacie,,achają,,achała,,achał,,achały,
achnąć,achnę,,achniesz,,achnie,,achniemy,,achniecie,,achną,,achnęła,,achnął,,achnęły,,
acylować,,acyluję,,acylujesz,,acyluje,,acylujemy,,acylujecie,,acylują,,acylowała,,acylował,,acylowały,
adiektywizować,,adiektywizuję,,adiektywizujesz,,adiektywizuje,,adiektywizujemy,,adiektywizujecie,,adiektywizują,,adiektywizowała,,adiektywizował,,adiektywizowały,
adiustować,,adiustuję,,adiustujesz,,adiustuje,,adiustujemy,,adiustujecie,,adiustują,,adiustowała,,adiustował,,adiustowały,
adiutantować,,adiutantuję,,adiutantujesz,,adiutantuje,,adiutantujemy,,adiutantujecie,,adiutantują,,adiutantowała,,adiutantował,,adiutantowały,
