lemma,adv,bedzie:pl:pri:imperf,bedzie:pl:sec:imperf,bedzie:pl:ter:imperf,bedzie:sg:pri:imperf,bedzie:sg:sec:imperf,bedzie:sg:ter:imperf,fin:pl:pri:imperf,fin:pl:pri:imperf.perf,fin:pl:pri:perf,fin:pl:sec:imperf,fin:pl:sec:imperf.perf,fin:pl:sec:perf,fin:pl:ter:imperf,fin:pl:ter:imperf.perf,fin:pl:ter:perf,fin:sg:pri:imperf,fin:sg:pri:imperf.perf,fin:sg:pri:perf,fin:sg:sec:imperf,fin:sg:sec:imperf.perf,fin:sg:sec:perf,fin:sg:ter:imperf,fin:sg:ter:imperf.perf,fin:sg:ter:perf,impt:pl:pri:imperf,impt:pl:pri:imperf.perf,impt:pl:pri:perf,impt:pl:sec:imperf,impt:pl:sec:imperf.perf,impt:pl:sec:perf,impt:sg:sec:imperf,impt:sg:sec:imperf.perf,impt:sg:sec:perf,inf:imperf,inf:imperf.perf,inf:perf,num:comp,num:pl:acc:m1:rec,num:pl:dat.loc:n1.p1.p2:congr.rec,num:pl:dat:m1.m2.m3.n2.f:congr,num:pl:gen.dat.inst.loc:m1.m2.m3.f.n1.n2.p1.p2:congr,num:pl:gen.dat.inst.loc:m1.m2.m3.f.n2:congr,num:pl:gen.dat.loc:m1.m2.m3.n2.f:congr,num:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2:congr,num:pl:gen.loc:m1.m2.m3.n2.f:congr,num:pl:gen:n1.p1.p2:rec,num:pl:inst:f:congr,num:pl:inst:m1.m2.m3.f.n1.n2.p1.p2:congr,num:pl:inst:m1.m2.m3.f.n2:congr,num:pl:inst:m1.m2.m3.n2.f:congr,num:pl:inst:m1.m2.m3.n2:congr,num:pl:inst:n1.p1.p2:rec,num:pl:nom.acc.voc:f:congr,num:pl:nom.acc.voc:m1:rec,num:pl:nom.acc.voc:m2.m3.f.n1.n2.p1.p2:rec,num:pl:nom.acc.voc:m2.m3.f.n2:rec,num:pl:nom.acc.voc:m2.m3.n2.f:congr,num:pl:nom.acc.voc:m2.m3.n2:congr,num:pl:nom.acc.voc:n1.p1.p2:rec,num:pl:nom.acc:m1.m2.m3.f.n1.n2.p1.p2:rec,num:pl:nom.gen.dat.inst.acc.loc.voc:m1.m2.m3.f.n1.n2.p1.p2:rec,num:pl:nom.voc:m1:congr,num:pl:nom.voc:m1:rec,num:sg:nom.gen.dat.inst.acc.loc.voc:f:rec,num:sg:nom.gen.dat.inst.acc.loc.voc:m1.m2.m3.n1.n2:rec,pant:perf,pcon:imperf,praet:pl:m1.p1:imperf,praet:pl:m1.p1:imperf.perf,praet:pl:m1.p1:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf.perf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:sg:f:imperf,praet:sg:f:imperf.perf,praet:sg:f:perf,praet:sg:m1.m2.m3:imperf,praet:sg:m1.m2.m3:imperf.perf,praet:sg:m1.m2.m3:imperf:agl,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:perf:agl,praet:sg:n1.n2:imperf,praet:sg:n1.n2:imperf.perf,praet:sg:n1.n2:perf,pred,winien:pl:m1.p1:imperf,winien:pl:m2.m3.f.n1.n2.p2.p3:imperf,winien:sg:f:imperf,winien:sg:m1.m2.m3:imperf,winien:sg:n1.n2:imperf
abdykować,,,,,,,,,abdykujemy,,,abdykujecie,,,abdykują,,,abdykuję,,,abdykujesz,,,abdykuje,,,abdykujmy,,,abdykujcie,,,abdykuj,,,abdykować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdykowawszy,abdykując,,abdykowali,,,abdykowały,,,abdykowała,,,abdykował,,,,,abdykowało,,,,,,,
ablaktować,,,,,,,,ablaktujemy,,,ablaktujecie,,,ablaktują,,,ablaktuję,,,ablaktujesz,,,ablaktuje,,,ablaktujmy,,,ablaktujcie,,,ablaktuj,,,ablaktować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ablaktując,ablaktowali,,,ablaktowały,,,ablaktowała,,,ablaktował,,,,,ablaktowało,,,,,,,,
ablegrować,,,,,,,,ablegrujemy,,,ablegrujecie,,,ablegrują,,,ablegruję,,,ablegrujesz,,,ablegruje,,,ablegrujmy,,,ablegrujcie,,,ablegruj,,,ablegrować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ablegrując,ablegrowali,,,ablegrowały,,,ablegrowała,,,ablegrował,,,,,ablegrowało,,,,,,,,
abonować,,,,,,,,abonujemy,,,abonujecie,,,abonują,,,abonuję,,,abonujesz,,,abonuje,,,abonujmy,,,abonujcie,,,abonuj,,,abonować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abonując,abonowali,,,abonowały,,,abonowała,,,abonował,,,,,abonowało,,,,,,,,
abradować,,,,,,,,abradujemy,,,abradujecie,,,abradują,,,abraduję,,,abradujesz,,,abraduje,,,abradujmy,,,abradujcie,,,abraduj,,,abradować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abradując,abradowali,,,abradowały,,,abradowała,,,abradował,,,,,abradowało,,,,,,,,
abrogować,,,,,,,,,abrogujemy,,,abrogujecie,,,abrogują,,,abroguję,,,abrogujesz,,,abroguje,,,abrogujmy,,,abrogujcie,,,abroguj,,,abrogować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abrogowawszy,abrogując,,abrogowali,,,abrogowały,,,abrogowała,,,abrogował,,,,,abrogowało,,,,,,,
abrysować,,,,,,,,,,abrysujemy,,,abrysujecie,,,abrysują,,,abrysuję,,,abrysujesz,,,abrysuje,,,abrysujmy,,,abrysujcie,,,abrysuj,,,abrysować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abrysowawszy,,,,abrysowali,,,abrysowały,,,abrysowała,,,,abrysował,,,,abrysowało,,,,,,
absentować,,,,,,,,absentujemy,,,absentujecie,,,absentują,,,absentuję,,,absentujesz,,,absentuje,,,absentujmy,,,absentujcie,,,absentuj,,,absentować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absentując,absentowali,,,absentowały,,,absentowała,,,absentował,,,,,absentowało,,,,,,,,
absolutyzować,,,,,,,,absolutyzujemy,,,absolutyzujecie,,,absolutyzują,,,absolutyzuję,,,absolutyzujesz,,,absolutyzuje,,,absolutyzujmy,,,absolutyzujcie,,,absolutyzuj,,,absolutyzować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolutyzując,absolutyzowali,,,absolutyzowały,,,absolutyzowała,,,absolutyzował,,,,,absolutyzowało,,,,,,,,
absolwować,,,,,,,,absolwujemy,,,absolwujecie,,,absolwują,,,absolwuję,,,absolwujesz,,,absolwuje,,,absolwujmy,,,absolwujcie,,,absolwuj,,,absolwować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolwując,absolwowali,,,absolwowały,,,absolwowała,,,absolwował,,,,,absolwowało,,,,,,,,
absorbować,,,,,,,,absorbujemy,,,absorbujecie,,,absorbują,,,absorbuję,,,absorbujesz,,,absorbuje,,,absorbujmy,,,absorbujcie,,,absorbuj,,,absorbować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absorbując,absorbowali,,,absorbowały,,,absorbowała,,,absorbował,,,,,absorbowało,,,,,,,,
abstrahować,,,,,,,,abstrahujemy,,,abstrahujecie,,,abstrahują,,,abstrahuję,,,abstrahujesz,,,abstrahuje,,,abstrahujmy,,,abstrahujcie,,,abstrahuj,,,abstrahować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstrahując,abstrahowali,,,abstrahowały,,,abstrahowała,,,abstrahował,,,,,abstrahowało,,,,,,,,
absurdalizować,,,,,,,,absurdalizujemy,,,absurdalizujecie,,,absurdalizują,,,absurdalizuję,,,absurdalizujesz,,,absurdalizuje,,,absurdalizujmy,,,absurdalizujcie,,,absurdalizuj,,,absurdalizować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absurdalizując,absurdalizowali,,,absurdalizowały,,,absurdalizowała,,,absurdalizował,,,,,absurdalizowało,,,,,,,,
absztyfikować,,,,,,,,absztyfikujemy,,,absztyfikujecie,,,absztyfikują,,,absztyfikuję,,,absztyfikujesz,,,absztyfikuje,,,absztyfikujmy,,,absztyfikujcie,,,absztyfikuj,,,absztyfikować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absztyfikując,absztyfikowali,,,absztyfikowały,,,absztyfikowała,,,absztyfikował,,,,,absztyfikowało,,,,,,,,
